time, x, y
2024-07-22-11-31-49,2.0435142517089844,1.5e-05
2024-07-22-11-31-51,3.3633642196655273,1.51e-05
2024-07-22-11-31-53,5.099650859832764,1.49e-05
2024-07-22-11-31-55,7.0773279666900635,1.51e-05
2024-07-22-11-31-56,8.167755126953125,1.49e-05
2024-07-22-11-31-58,10.221306085586548,1.5e-05
2024-07-22-11-31-59,11.312389373779297,1.49e-05
2024-07-22-11-32-01,13.117259740829468,1.5e-05
2024-07-22-11-32-02,14.206315517425537,1.52e-05
2024-07-22-11-32-04,16.134644985198975,1.5e-05
2024-07-22-11-32-05,17.210186004638672,1.5e-05
2024-07-22-11-32-07,19.133872985839844,1.49e-05
2024-07-22-11-32-08,20.223912715911865,1.51e-05
2024-07-22-11-32-10,22.234045267105103,1.5e-05
2024-07-22-11-32-11,23.33538794517517,1.49e-05
2024-07-22-11-32-13,25.164042711257935,1.49e-05
2024-07-22-11-32-14,26.253740072250366,1.51e-05
2024-07-22-11-32-16,28.180939197540283,1.5e-05
2024-07-22-11-32-17,29.270085096359253,1.51e-05
2024-07-22-11-32-19,31.19741702079773,1.49e-05
2024-07-22-11-32-20,32.5192084312439,1.5e-05
2024-07-22-11-32-22,34.265259742736816,1.5e-05
2024-07-22-11-32-24,36.20548701286316,1.5e-05
